Time,Time,Time,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN,MPO_SIMBIO-SYS_HRIC_FPAN
ISOC,J2000,Norbit,Corners0,Corners0,Corners0,Corners1,Corners1,Corners1,Corners2,Corners2,Corners2,Corners3,Corners3,Corners3,SubNd,SubNd,SubNd,SubNd,Bore,Bore,Bore,Bore,Bore,Bore,Bore,PoG,PoG,Vel_on_bore,Vel_on_bore,Vel_on_bore,Swath,Swath,Swath,Swath,Subsolar,Subsolar,Subsolar
[txt],[s],[#],Lat[°],Long[°],Ray[km],Lat[°],Long[°],Ray[km],Lat[°],Long[°],Ray[km],Lat[°],Long[°],Ray[km],Lat[°],Long[°],Ray[km],Dist[km],Lat[°],Long[°],Ray[km],Inc[°],Emi[°],Pha[°],SunDist[km],h[m],w[m],[m/s],AT[ms/px],AT[°/s],h[°],w[°],h[m],w[m],Lat[°],Long[°],Ray[km]
2026-06-13T02:09:40.000003,834588649.1846131,830,-10.710991813555527,-157.76669935190313,2439.4,-10.624755622677789,-157.76656886616001,2439.4,-10.625027829426479,-157.48556177932704,2439.4000000000005,-10.711264036722211,-157.48560435738966,2439.4000000000005,-10.634937992897276,-157.6257888877079,2439.4,458.67189167334413,-10.668039863631614,-157.62610857573216,2439.3999999999996,54.68782886515778,0.2064343993060201,54.662496861279195,63069632.003828555,0.005736190643765232,0.005741122995245006,2.4924622345541954,2.301415268902244,0.058542086839264436,0.08623625183280027,0.2761934811897174,3671.55686699228,11759.092619734065,0.0028293593071924395,148.40559152767403,2439.4
2026-06-13T02:09:50.000003,834588659.1846131,830,-10.125161793968916,-157.76615939682407,2439.4000000000005,-10.039167497428473,-157.76603243528564,2439.3999999999996,-10.039437076403175,-157.48633524993076,2439.4000000000005,-10.125431384510788,-157.48637936034064,2439.4000000000005,-10.049254034278661,-157.6259095095784,2439.3999999999996,457.386849534129,-10.082327555624348,-157.62622659401222,2439.4,54.61191367723361,0.2067413219087826,54.58801086990979,63069710.820118695,0.005720100582199789,0.005725018955433414,2.495147787143195,2.2924896920630844,0.058605164165250356,0.08599435323494249,0.27541873471116074,3661.257898296348,11726.107353177751,0.002829127875380646,148.40527183044162,2439.4
2026-06-13T02:10:00.000003,834588669.1846131,830,-9.538728692556171,-157.7656594255832,2439.4,-9.452968746412111,-157.76553596554248,2439.4,-9.453235769346835,-157.48709070600648,2439.4,-9.538995722040838,-157.4871362900238,2439.4,-9.463056653598489,-157.62604007041685,2439.4,456.1419922541436,-9.49600845363709,-157.62635554993105,2439.400000000001,54.54010211147697,0.20644149512510632,54.5177175722231,63069789.78078789,0.00570451352644436,0.0057094185755151555,2.4976009624069504,2.2839971686057052,0.05866278349337166,0.08575999853241882,0.27466821741805125,3651.280115182224,11694.153657803148,0.002828896444012967,148.4049521321952,2439.4
2026-06-13T02:10:10.000003,834588679.1846131,830,-8.951744925351058,-157.76519926537,2439.4000000000005,-8.8662116804416,-157.76507918307522,2439.3999999999987,-8.866476217096805,-157.48782815937307,2439.4,-8.952009463448304,-157.4878752678949,2439.4000000000005,-8.876389339987332,-157.6261805774812,2439.3999999999996,454.9376760135259,-8.909134953953265,-157.62649547134697,2439.4000000000015,54.47243158854811,0.20558736651736684,54.45163557102005,63069868.886755854,0.005689433917051295,0.005694326278047093,2.4999050060044796,2.2758600440360492,0.05871690006873959,0.0855332930951654,0.27394214767339375,3641.6280038341315,11663.24083053787,0.0028286650131401545,148.40463243294775,2439.4
2026-06-13T02:10:20.000003,834588689.1846131,830,-8.364232066167183,-157.76477719539108,2439.4,-8.278917856586018,-157.76466037092473,2439.4,-8.279179973694513,-157.4885463372235,2439.400000000001,-8.364494179558227,-157.48859502170515,2439.4,-8.28926966514709,-157.62632961959713,2439.3999999999996,453.7740107078866,-8.32172856716474,-157.62664470330182,2439.4,54.40893555519604,0.2042001689611348,54.38978165487554,63069948.13882117,0.005674863266744109,0.005679743567319869,2.5021461708174,2.267998301989786,0.05876953976906491,0.08531425368465517,0.2732405893627384,3632.3022778811996,11633.371591345094,0.002828433582716565,148.40431273270775,2439.4000000000005
2026-06-13T02:10:30.000003,834588699.1846131,830,-7.776200848369613,-157.76439031839297,2439.3999999999996,-7.691098041748946,-157.76427679038508,2439.4,-7.691357802651869,-157.4892429494027,2439.4,-7.776460600333069,-157.48929309905694,2439.3999999999996,-7.701706225628747,-157.62648510296103,2439.4,452.6510674360397,-7.733800080722257,-157.6268007838934,2439.4000000000005,54.34964568035715,0.20229074083420068,54.332172378485176,63070027.53773846,0.005660802307307687,0.005665671165048454,2.5043560585089883,2.2603823797635,0.05882144484323313,0.08510284658617517,0.27256358430228345,3623.301501900581,11604.54772057296,0.002828202152780173,148.4039930314453,2439.4
2026-06-13T02:10:40.000003,834588709.1846131,830,-7.187655812078807,-157.76403532971167,2439.4000000000005,-7.102756716624167,-157.76392498600612,2439.3999999999996,-7.103014181357848,-157.48991495434004,2439.4,-7.187913262796666,-157.48996662264895,2439.4000000000005,-7.113702336601849,-157.62664422201047,2439.4,451.56891062603813,-7.145353965923862,-157.626960411146,2439.4000000000005,54.29459264753013,0.19986344164491407,54.27882270158637,63070107.08424699,0.0056472520358175834,0.0056521100629988354,2.5065566000662636,2.2529920272569517,0.058873130398646334,0.08489913148549404,0.27191117309341145,3614.6282170474083,11576.770946848135,0.0028279707232955298,148.40367332919035,2439.4
2026-06-13T02:10:50.000003,834588719.1846131,830,-6.598599288814551,-157.7637086193592,2439.4000000000005,-6.513896196664739,-157.76360135171322,2439.3999999999996,-6.5141514225362736,-157.4905591116872,2439.4000000000005,-6.598854495850278,-157.49061235320738,2439.400000000001,-6.525259578178101,-157.62680419850358,2439.4,450.52763787064464,-6.5563925851992275,-157.62712031981545,2439.4,54.243805840693035,0.1969207487361593,54.22974735112743,63070186.77906044,0.005634213573544471,0.005639061374204196,2.508744803973011,2.2458296932481,0.05892452617161127,0.08470312450821685,0.2712834177775328,3606.283109878376,11550.04391161852,0.0028277392942989608,148.40335362592137,2439.3999999999996
2026-06-13T02:11:00.000003,834588729.1846131,830,-6.009544789530765,-157.76340839556082,2439.4000000000005,-5.925029962021742,-157.76330385075596,2439.4,-5.925283918298629,-157.49117346620855,2439.3999999999996,-6.009798722614753,-157.4912284512892,2439.4,-5.936381620519214,-157.62696236230622,2439.4000000000005,449.5273901754717,-5.967429842726231,-157.62727849850364,2439.4,54.19735094259298,0.19674374274834258,54.184763132121866,63070266.62416612,0.005621690815259355,0.005626527872867482,2.5067228598333537,2.242645529483496,0.05887703545028081,0.08451485673896864,0.270680446141823,3598.2675038388543,11524.3720554949,0.002827507865752391,148.4030339216645,2439.4
2026-06-13T02:11:10.000003,834588739.1846131,830,-5.420464518908147,-157.76313254967954,2439.4000000000005,-5.336130181424203,-157.7630304055666,2439.4,-5.336383765506759,-157.49175628255637,2439.4,-5.420718075805126,-157.4918131654024,2439.3999999999996,-5.347077916860693,-157.62711669205717,2439.4,448.56835257795126,-5.37843789099541,-157.62743302897147,2439.4,54.15524044728045,0.199107576177592,54.143958756327585,63070346.61973398,0.005609685921228364,0.0056145118062860344,2.5088256726124682,2.235980754847321,0.058926425586113156,0.0843343640552427,0.27010236630768364,3590.5829264332783,11499.759981806685,0.0028272764376964235,148.40271421639363,2439.4
